mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
0.4099853992462158,0.03442008732955359,0.2621187210083008,0.04992089527352155,balanced,20,sqrt,17,18,101,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 17, 'min_samples_split': 18, 'n_estimators': 101}",0.966710018459473,0.9692709655580942,0.9859843546284224,0.9849329183664886,0.9722420826849477,0.9758280679394851,0.008062780771070728,78,0.9127370364155059,0.9275619869679274,0.9195861546873029,0.9455250872692098,0.9243386465912437,0.9259497823862379,0.010985990506114459,79
7.148422813415527,0.7146111809729794,1.1340860843658447,0.8206458275399153,"{0: 1, 1: 3}",25,,5,2,484,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 25, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 484}",0.9741986910555462,0.9752792586951002,0.9853745215965009,0.9864575009462926,0.9776569794339067,0.9797933903454693,0.005134232024866412,14,0.922826816579963,0.9435347380891935,0.9275455271901417,0.9512133574462717,0.9263048324010598,0.9342850543413259,0.011068156815674949,22
2.151776838302612,0.8722780652353717,3.5262939453125,0.6815548103877582,balanced,5,sqrt,12,7,346,"{'class_weight': 'balanced', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 12, 'min_samples_split': 7, 'n_estimators': 346}",0.963962074173519,0.9643416264703394,0.9839445682802708,0.9826197585902342,0.9689195440972368,0.97275751432232,0.008778735551945846,87,0.913974660177882,0.9232884826944232,0.9280607309584893,0.9455250872692098,0.9243386465912437,0.9270375215382496,0.010342288038210136,75
4.300313806533813,0.5071030993336526,1.263807201385498,0.42410881847759807,"{0: 1, 1: 3}",30,,17,7,379,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 30, 'max_features': None, 'min_samples_leaf': 17, 'min_samples_split': 7, 'n_estimators': 379}",0.970359959724786,0.9697363967165947,0.9836291374016908,0.9851852630693526,0.9776044076208101,0.9773030329066469,0.006445156717717623,60,0.9122126195670414,0.9404988575780655,0.9243386465912437,0.944284392480128,0.9358098162089413,0.931428866485084,0.011715437433379714,53
1.6582491397857666,0.43812790489252845,0.5513442039489747,0.13993327937039662,balanced,15,log2,6,12,339,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 339}",0.9696467528108742,0.968847846323094,0.9863208142322413,0.9849329183664887,0.9723682550363797,0.9764233173538155,0.007617438842466338,72,0.9226380265145158,0.9227278497080477,0.9250641376119778,0.9480064768473736,0.9195861546873029,0.9276045290738436,0.010348290089137322,71
2.0145028591156007,0.17234972448510436,2.2289091110229493,0.2369286769632105,"{0: 1, 1: 3}",,sqrt,6,17,448,"{'class_weight': {0: 1, 1: 3}, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 17, 'n_estimators': 448}",0.9724156737707669,0.9733540661758484,0.9870778483408336,0.9869096185389242,0.975922109601716,0.9791358632856179,0.00651804779102489,29,0.923875650276892,0.9282389777439282,0.9263048324010598,0.9584472389283762,0.933023510114817,0.9339780418930147,0.012597825622314346,27
2.831558847427368,0.43192409042537633,1.3245744705200195,0.5055126160332106,balanced,15,,4,4,246,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 246}",0.9747021312300722,0.9763159008208513,0.9853324641460235,0.9871619632417884,0.9779093241367707,0.9802843567151012,0.005006705972363636,3,0.92582648095318,0.9392612338156893,0.9263048324010598,0.9524540522353534,0.9238234428228961,0.9335340084456357,0.010924570641340411,30
1.7656362533569336,0.1389328087917741,0.6059345722198486,0.2165050271583941,"{0: 1, 1: 3}",30,sqrt,1,9,227,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 227}",0.9727093472059071,0.9775852585258525,0.9896012953694746,0.9858371535517517,0.9756382218109938,0.980274255292796,0.006385778856984673,4,0.92582648095318,0.9344270965558094,0.9392269840602263,0.9579320351600287,0.9355048996929806,0.938583499284445,0.010623322352040507,4
1.0479973793029784,0.22996280872285377,1.4645666122436523,1.4579163766119017,balanced,5,sqrt,11,19,250,"{'class_weight': 'balanced', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 19, 'n_estimators': 250}",0.9640040275213962,0.9660975712955912,0.9839025108297935,0.9831244479959624,0.9697396643815452,0.9733736444048576,0.008483772393346177,86,0.913974660177882,0.9232884826944232,0.9280607309584893,0.9455250872692098,0.92185725701308,0.9265412436226169,0.01051793102325693,77
5.55853238105774,0.9740769755567599,1.9524518489837646,1.1767414010144557,balanced,45,,7,17,445,"{'class_weight': 'balanced', 'max_depth': 45, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 17, 'n_estimators': 445}",0.9729820439671086,0.9744964881103495,0.9855427513984102,0.9860264120788997,0.978971274761324,0.9796037940632184,0.005419473507701494,17,0.9233512334284275,0.941059490564441,0.9183454598982209,0.9534844597720488,0.9238234428228961,0.9320128172972069,0.01320423625538056,44
